topic,topic_talkid
manufacturing,1065
advertising,1066
culture,1066
entertainment,1066
media,1066
social_media,1066
TEDx,1067
entertainment,1067
health,1067
journalism,1067
science,1067
sports,1067
culture,1068
global_issues,1068
poetry,1068
war,1068
women,1068
performance,1068
TEDx,1069
business,1069
culture,1069
motivation,1069
work,1069
life,1069
work-life_balance,1069
AI,1070
body_language,1070
business,1070
communication,1070
design,1070
entertainment,1070
robots,1070
technology,1070
community,1071
global_issues,1071
health,1071
medicine,1071
science,1071
women,1071
architecture,1072
biomimicry,1072
design,1072
sustainability,1072
science_and_art,1072
TEDx,1073
entertainment,1073
live_music,1073
music,1073
performance,1073
charter_for_compassion,1074
compassion,1074
faith,1074
religion,1074
science,1074
TEDx,1075
brain,1075
children,1075
language,1075
science,1075
technology,1075
culture,1076
economics,1076
global_issues,1076
investment,1076
women_in_business,1076
business,1077
technology,1077
Foreign_Policy,1078
business,1078
iraq,1078
gender_equality,1078
business,1079
choice,1079
culture,1079
economics,1079
body_language,1080
community,1080
culture,1080
design,1080
medical_research,1080
science_and_art,1080
Surgery,1080
science,1080
anthropology,1081
storytelling,1081
cancer,1082
genetics,1082
medical_research,1082
entertainment,1083
live_music,1083
performance,1083
music,1083
Egypt,1084
Middle_East,1084
global_issues,1084
iraq,1084
media,1084
politics,1084
protests,1084
technology,1084
TED_Prize,1085
activism,1085
community,1085
photography,1085
art,1085
Egypt,1086
democracy,1086
global_issues,1086
politics,1086
protests,1086
social_change,1086
aging,1087
education,1087
money,1087
youth,1087
Surgery,1088
health_care,1088
invention,1088
medical_research,1088
prosthetics,1088
culture,1089
feminism,1089
history,1089
identity,1089
women,1089
writing,1089
culture,1090
education,1090
global_issues,1090
online_video,1090
teaching,1090
brain,1092
children,1092
language,1092
time,1092
TEDx,1093
business,1093
environment,1093
global_issues,1093
innovation,1093
nature,1093
sustainability,1093
water,1093
rivers,1093
brain,1094
culture,1094
motivation,1094
society,1094
emotions,1094
dark_matter,1095
science,1095
universe,1095
community,1096
compassion,1096
culture,1096
TEDx,1098
architecture,1098
design,1098
entertainment,1100
performance,1100
poetry,1100
storytelling,1100
performance_art,1100
spoken_word,1100
culture,1101
data,1101
economics,1101
women,1101
electricity,1101
TED_Fellows,1102
animals,1102
culture,1102
play,1102
science,1102
TEDx,1103
biology,1103
biomechanics,1103
deextinction,1103
future,1103
genetics,1103
philosophy,1103
science,1103
bioethics,1103
design,1104
disability,1104
science,1104
technology,1104
bionics,1104
TEDx,1105
creativity,1105
entertainment,1105
music,1105
performance,1105
live_music,1105
TEDx,1106
culture,1106
global_issues,1106
language,1106
Iran,1107
computers,1107
government,1107
nuclear_energy,1107
science,1107
technology,1107
war,1107
animals,1108
design,1108
entertainment,1108
theater,1108
performance,1108
business,1109
robots,1109
science,1109
technology,1109
transportation,1109
driverless_cars,1109
conducting,1110
entertainment,1110
music,1110
online_video,1110
virtual_reality,1110
crowdsourcing,1110
collaboration,1110
live_music,1110
education,1111
science,1111
technology,1111
toy,1111
culture,1112
global_issues,1112
iraq,1112
leadership,1112
peace,1112
war,1112
business,1113
charter_for_compassion,1113
culture,1113
Brand,1114
business,1114
consumerism,1114
film,1114
humor,1114
comedy,1114
movies,1114
creativity,1115
design,1115
disease,1115
invention,1115
open-source,1115
technology,1115
activism,1116
business,1116
culture,1116
TED_Prize,1117
TEDx,1117
entertainment,1117
music,1117
oceans,1117
live_music,1117
Internet,1118
big_bang,1118
cosmos,1118
history,1118
humanity,1118
universe,1118
visualizations,1118
TEDx,1119
collaboration,1119
community,1119
culture,1119
global_issues,1119
politics,1119
community,1121
culture,1121
speech,1121
TED_Fellows,1122
culture,1122
open-source,1122
technology,1122
manufacturing,1122
business,1124
technology,1124
Surgery,1124
Best_of_the_Web,1124
TEDx,1125
culture,1125
empathy,1125
global_issues,1125
iraq,1125
society,1125
sociology,1125
war,1125
culture,1126
failure,1126
design,1127
education,1127
gaming,1127
global_issues,1127
government,1127
peace,1127
politics,1127
war,1127
exploration,1129
journalism,1129
science,1129
technology,1129
universe,1129
telescopes,1129
Best_of_the_Web,1129
business,1130
storytelling,1130
transportation,1130
evolution,1131
medicine,1131
philosophy,1131
science,1131
technology,1131
bioethics,1131
marine_biology,1131
TEDx,1132
culture,1132
global_issues,1132
security,1132
technology,1132
terrorism,1132
DNA,1133
TEDx,1133
alternative_energy,1133
biology,1133
evolution,1133
genetics,1133
nature,1133
virus,1133
science,1133
demo,1134
design,1134
entertainment,1134
software,1134
technology,1134
design,1135
education,1135
play,1135
science,1135
technology,1135
toy,1135
Best_of_the_Web,1135
culture,1136
global_issues,1136
parenting,1136
terrorism,1136
friendship,1136
culture,1091
global_issues,1091
journalism,1091
politics,1091
technology,1091
cities,1137
design,1137
entertainment,1137
technology,1137
TED_Fellows,1138
bacteria,1138
biology,1138
biotech,1138
creativity,1138
design,1138
fashion,1138
materials,1138
technology,1138
String_theory,1139
TEDx,1139
astronomy,1139
cosmos,1139
philosophy,1139
physics,1139
science,1139
time,1139
universe,1139
beauty,1140
bees,1140
evolution,1140
film,1140
garden,1140
insects,1140
life,1140
nature,1140
plants,1140
botany,1140
science,1140
animals,1141
biodiversity,1141
creativity,1141
culture,1141
design,1141
entertainment,1141
photography,1141
storytelling,1141
Antarctica,1141
biology,1142
biomimicry,1142
design,1142
green,1142
invention,1142
life,1142
medicine,1142
science,1142
technology,1142
body_language,1143
culture,1143
happiness,1143
science,1143
society,1143
emotions,1143
art,1144
design,1144
technology,1144
TEDx,1145
culture,1145
history,1145
physics,1145
science,1145
storytelling,1145
brain,1146
science,1146
technology,1146
neuroscience,1146
architecture,1147
creativity,1147
design,1147
science_and_art,1147
biomimicry,1147
Senses,1148
brain,1148
health,1148
health_care,1148
pain,1148
science,1148
biology,1149
deextinction,1149
exploration,1149
oceans,1149
photography,1149
science,1149
culture,1150
demo,1150
entertainment,1150
collaboration,1152
data,1152
design,1152
technology,1152
visualizations,1152
crowdsourcing,1152
art,1152
Vaccines,1153
disease,1153
global_issues,1153
health,1153
science,1153
film,1154
global_issues,1154
photography,1154
women,1154
art,1154
Egypt,1155
Islam,1155
TEDx,1155
culture,1155
democracy,1155
religion,1155
TED_Fellows,1156
collaboration,1156
creativity,1156
entertainment,1156
live_music,1156
Senses,1158
design,1158
sight,1158
technology,1158
transportation,1158
blindness,1158
design,1159
film,1159
happiness,1159
motivation,1159
art,1159
philosophy,1160
physics,1160
science,1160
quantum_physics,1160
consumerism,1161
creativity,1161
culture,1161
design,1161
fashion,1161
TEDx,1162
culture,1162
philosophy,1162
technology,1162
dinosaurs,1163
genetics,1163
paleontology,1163
science,1163
art,1164
cities,1164
culture,1164
data,1164
design,1164
technology,1164
visualizations,1164
business,1165
cities,1165
culture,1165
design,1165
global_issues,1165
Gender_spectrum,1166
TEDx,1166
culture,1166
gender,1166
communication,1167
culture,1167
depression,1167
mental_health,1167
storytelling,1167
suicide,1167
TEDx,1168
design,1168
health_care,1168
science,1168
technology,1168
art,1169
creativity,1169
design,1169
storytelling,1169
Europe,1170
TEDx,1170
business,1170
culture,1170
economics,1170
play,1170
social_change,1170
TED_Fellows,1171
art,1171
glacier,1171
global_issues,1171
photography,1171
Antarctica,1171
design,1172
entertainment,1172
live_music,1172
music,1172
technology,1172
design,1173
entertainment,1173
live_music,1173
music,1173
technology,1173
cars,1174
cities,1174
design,1174
mobility,1174
technology,1174
infrastructure,1174
driverless_cars,1174
brain,1175
culture,1175
culture,1176
love,1176
storytelling,1176
LGBT,1176
art,1177
astronomy,1177
design,1177
entertainment,1177
physics,1177
sound,1177
technology,1177
brain,1178
depression,1178
entertainment,1178
mental_health,1178
performance,1178
computers,1180
history,1180
language,1180
science,1180
TEDx,1181
collaboration,1181
culture,1181
data,1181
health_care,1181
science,1181
technology,1181
activism,1182
cities,1182
culture,1182
public_spaces,1182
architecture,1182
culture,1183
success,1183
creativity,1184
design,1184
entertainment,1184
food,1184
photography,1184
technology,1184
art,1184
bees,1185
biology,1185
botany,1185
environment,1185
insects,1185
life,1185
science,1185
sex,1185
plants,1185
consciousness,1186
medicine,1186
technology,1186
Best_of_the_Web,1186
TED_Fellows,1187
biology,1187
biomimicry,1187
biotech,1187
science,1187
culture,1188
protests,1188
social_media,1188
surveillance,1188
encryption,1188
culture,1189
democracy,1189
global_issues,1189
politics,1189
business,1190
creativity,1190
culture,1190
society,1190
communication,1191
global_issues,1191
journalism,1191
war,1191
women,1191
Internet,1192
TEDx,1192
computers,1192
crime,1192
global_issues,1192
technology,1192
virus,1192
culture,1193
entertainment,1193
psychology,1193
self,1193
film,1193
complexity,1194
computers,1194
social_change,1194
technology,1194
animals,1195
biomechanics,1195
biomimicry,1195
design,1195
robots,1195
technology,1195
Foreign_Policy,1196
Middle_East,1196
global_issues,1196
military,1196
peace,1196
war,1196
biology,1197
business,1197
cities,1197
complexity,1197
math,1197
science,1197
infrastructure,1197
happiness,1198
philosophy,1198
psychology,1198
science,1198
culture,1199
economics,1199
food,1199
global_issues,1199
peace,1199
politics,1199
war,1199
culture,1200
sound,1200
social_change,1200
consciousness,1201
culture,1201
self,1201
social_change,1201
social_media,1201
technology,1201
Internet,1202
cities,1202
invention,1202
technology,1202
biology,1203
communication,1203
culture,1203
evolution,1203
language,1203
science,1203
TED_Fellows,1204
health,1204
microbiology,1204
science,1204
activism,1205
brain,1205
cancer,1205
culture,1205
poetry,1205
human_body,1205
culture,1206
feminism,1206
gaming,1206
gender,1206
sex,1206
architecture,1207
cities,1207
collaboration,1207
design,1207
energy,1207
environment,1207
green,1207
technology,1207
infrastructure,1207
TEDx,1208
animals,1208
birds,1208
collaboration,1208
global_issues,1208
oceans,1208
science,1208
activism,1209
collaboration,1209
global_issues,1209
peace,1209
war,1209
nonviolence,1209
TED_Fellows,1210
exploration,1210
science,1210
technology,1210
universe,1210
telescopes,1210
Sun,1210
art,1211
design,1211
entertainment,1211
illusion,1211
magic,1211
music,1211
technology,1211
cognitive_science,1212
economics,1212
medical_research,1212
science,1212
technology,1212
DNA,1213
biology,1213
evolution,1213
science,1213
communication,1214
compassion,1214
entertainment,1214
film,1214
peace,1214
violence,1214
war,1214
nonviolence,1214
TED_Fellows,1215
design,1215
technology,1215
Buddhism,1216
compassion,1216
culture,1216
death,1216
global_issues,1216
culture,1217
design,1217
history,1217
invention,1217
technology,1217
TEDx,1120
culture,1120
entertainment,1120
global_issues,1120
history,1120
storytelling,1120
war,1120
biology,1218
life,1218
nanoscale,1218
science,1218
marine_biology,1218
creativity,1219
design,1219
entertainment,1219
technology,1219
books,1219
storytelling,1219
Asia,1220
culture,1220
democracy,1220
economics,1220
global_issues,1220
politics,1220
india,1220
Internet,1221
computers,1221
crime,1221
global_issues,1221
technology,1221
art,1222
communication,1222
culture,1222
glacier,1222
DNA,1223
TEDx,1223
biotech,1223
health_care,1223
science,1223
technology,1223
bioethics,1223
culture,1224
entertainment,1224
television,1224
business,1226
culture,1226
economics,1226
global_issues,1226
Google,1227
TEDx,1227
data,1227
design,1227
library,1227
technology,1227
visualizations,1227
writing,1227
Africa,1228
business,1228
global_issues,1228
marketing,1228
philanthropy,1228
HIV,1228
animals,1229
biology,1229
cancer,1229
science,1229
business,1230
creativity,1230
culture,1230
presentation,1230
communication,1231
culture,1231
health,1231
health_care,1231
medicine,1231
science,1231
creativity,1232
culture,1232
design,1232
education,1232
work,1232
Africa,1233
democracy,1233
entertainment,1233
film,1233
global_issues,1233
politics,1233
data,1234
health_care,1234
illness,1234
illusion,1234
medicine,1234
science,1234
pharmaceuticals,1234
creativity,1235
entertainment,1235
sex,1235
theater,1235
Asia,1236
china,1236
economics,1236
global_issues,1236
media,1236
politics,1236
TEDx,1237
bacteria,1237
biology,1237
evolution,1237
life,1237
science,1237
consumerism,1238
culture,1238
design,1238
happiness,1238
media,1238
simplicity,1238
business,1239
global_issues,1239
green,1239
plastic,1239
technology,1239
collaboration,1240
conducting,1240
culture,1240
entertainment,1240
music,1240
trust,1240
live_music,1240
brain,1241
children,1241
culture,1241
education,1241
psychology,1241
Senses,1243
beauty,1243
design,1243
happiness,1243
art,1243
business,1244
history,1244
technology,1244
web,1244
culture,1246
psychology,1246
science,1246
society,1246
TED_Fellows,1247
death,1247
design,1247
green,1247
invention,1247
art,1247
fungi,1247
culture,1248
education,1248
global_issues,1248
india,1248
invention,1248
women,1248
global_development,1248
energy,1249
entrepreneur,1249
environment,1249
science,1249
technology,1249
electricity,1249
TEDx,1250
computers,1250
global_issues,1250
politics,1250
security,1250
technology,1250
terrorism,1250
war,1250
Senses,1251
design,1251
engineering,1251
invention,1251
medicine,1251
prosthetics,1251
science,1251
technology,1251
bionics,1251
TED_Fellows,1252
art,1252
data,1252
visualizations,1252
weather,1252
culture,1253
data,1253
global_issues,1253
inequality,1253
money,1253
social_change,1253
visualizations,1253
drones,1255
invention,1255
war,1255
TEDx,1256
business,1256
cancer,1256
medical_research,1256
open-source,1256
science,1256
genetics,1256
collaboration,1256
community,1256
DNA,1256
chemistry,1256
crowdsourcing,1256
molecular_biology,1256
art,1257
creativity,1257
storytelling,1257
art,1258
data,1258
security,1258
war,1258
web,1258
surveillance,1258
brain,1259
culture,1259
medicine,1259
morality,1259
science,1259
chemistry,1259
neuroscience,1259
behavioral_economics,1259
molecular_biology,1259
sociology,1259
biology,1259
happiness,1259
empathy,1259
psychology,1259
mind,1259
cognitive_science,1259
cars,1260
design,1260
flight,1260
invention,1260
transportation,1260
biology,1261
brain,1261
evolution,1261
science,1261
math,1261
biomechanics,1261
AI,1261
engineering,1261
robots,1261
neuroscience,1261
decision-making,1261
consciousness,1261
cognitive_science,1261
entertainment,1262
magic,1262
technology,1262
TEDx,1242
cities,1242
collaboration,1242
culture,1242
global_issues,1242
journalism,1242
social_media,1242
TEDx,1263
culture,1263
design,1263
language,1263
law,1263
simplicity,1263
biology,1264
chemistry,1264
life,1264
science,1264
molecular_biology,1264
AI,1264
evolution,1264
ecology,1264
human_origins,1264
innovation,1264
nanoscale,1264
TED_Fellows,1265
art,1265
creativity,1265
humor,1265
technology,1265
history,1266
invention,1266
technology,1266
archaeology,1266
brain,1267
disease,1267
science,1267
technology,1267
genetics,1267
neuroscience,1267
molecular_biology,1267
biotech,1267
mental_health,1267
physiology,1267
medical_research,1267
medical_imaging,1267
cognitive_science,1267
visualizations,1267
DNA,1267
TEDx,1269
comedy,1269
community,1269
culture,1269
entertainment,1269
humor,1269
Internet,1268
TEDx,1268
business,1268
future,1268
investment,1268
technology,1268
Internet,1245
TEDx,1245
collaboration,1245
open-source,1245
science,1245
technology,1245
crowdsourcing,1245
data,1245
design,1270
medical_research,1270
science,1270
visualizations,1270
biotech,1270
medical_imaging,1270
physiology,1270
science_and_art,1270
pregnancy,1270
human_body,1270
Best_of_the_Web,1270
adventure,1271
design,1271
flight,1271
technology,1271
TEDx,1272
education,1272
entertainment,1272
technology,1272
youth,1272
code,1272
aging,1274
biotech,1274
genetics,1274
medicine,1274
science,1274
technology,1274
molecular_biology,1274
synthetic_biology,1274
innovation,1274
medical_research,1274
DNA,1274
comedy,1276
entertainment,1276
science,1276
time,1276
philosophy,1276
science_and_art,1276
humor,1276
TEDx,1278
design,1278
education,1278
gaming,1278
play,1278
TEDx,1279
activism,1279
children,1279
community,1279
culture,1279
global_issues,1279
war,1279
youth,1279
TEDx,1280
astronomy,1280
dinosaurs,1280
science,1280
technology,1280
space,1280
NASA,1280
asteroid,1280
creativity,1281
design,1281
engineering,1281
robots,1281
technology,1281
creativity,1282
design,1282
entertainment,1282
storytelling,1282
technology,1282
TEDx,1284
cities,1284
collaboration,1284
design,1284
food,1284
garden,1284
TEDx,1285
entertainment,1285
happiness,1285
illness,1285
personal_growth,1285
prosthetics,1285
crime,1286
culture,1286
global_issues,1286
philosophy,1286
prison,1286
children,1289
education,1289
food,1289
science,1289
writing,1289
pregnancy,1289
culture,1289
brain,1289
neuroscience,1289
evolution,1289
mental_health,1289
TEDx,1290
biology,1290
dance,1290
entertainment,1290
physics,1290
presentation,1290
science,1290
technology,1290
science_and_art,1290
beauty,1291
medical_research,1291
music,1291
science,1291
technology,1291
disability,1291
Senses,1291
hearing,1291
art,1291
science_and_art,1291
sound,1291
culture,1287
decision-making,1287
failure,1287
Africa,1292
TEDx,1292
journalism,1292
media,1292
poverty,1292
TEDx,1293
entertainment,1293
poetry,1293
spoken_word,1293
performance,1293
performance_art,1293
storytelling,1293
Egypt,1294
TEDx,1294
activism,1294
culture,1294
global_issues,1294
politics,1294
protests,1294
nonviolence,1294
Internet,1295
TEDx,1295
collaboration,1295
computers,1295
language,1295
technology,1295
wikipedia,1295
MacArthur_grant,1296
biomechanics,1296
biomimicry,1296
science,1296
technology,1296
materials,1296
molecular_biology,1296
biotech,1296
engineering,1296
industrial_design,1296
nature,1296
insects,1296
web,1296
physics,1296
health_care,1297
medical_research,1297
medicine,1297
science,1297
technology,1297
biotech,1297
engineering,1297
sound,1297
neuroscience,1297
future,1297
innovation,1297
physics,1297
medical_imaging,1297
culture,1298
entertainment,1298
jazz,1298
music,1298
live_music,1298
TEDx,1299
design,1299
engineering,1299
industrial_design,1299
technology,1299
TEDx,1300
engineering,1300
global_issues,1300
global_development,1300
TED_Fellows,1301
design,1301
global_issues,1301
journalism,1301
photography,1301
storytelling,1301
art,1301
cancer,1302
medicine,1302
science,1302
technology,1302
biotech,1302
Nobel_Prize,1302
molecular_biology,1302
biology,1302
health_care,1302
medical_research,1302
Surgery,1302
innovation,1302
business,1303
economics,1303
finance,1303
global_issues,1303
green,1303
agriculture,1304
business,1304
creativity,1304
culture,1304
food,1304
TEDx,1305
aging,1305
culture,1305
health_care,1305
medicine,1305
self,1305
storytelling,1305
TEDx,1306
culture,1306
food,1306
garden,1306
global_issues,1306
sustainability,1306
TEDx,1307
economics,1307
global_issues,1307
health,1307
brain,1308
consciousness,1308
neuroscience,1308
science,1308
self,1308
mind,1308
medical_imaging,1308
cognitive_science,1308
decision-making,1308
identity,1308
medical_research,1308
Senses,1308
memory,1308
mental_health,1308
medical_research,1309
medicine,1309
science,1309
sight,1309
technology,1309
prosthetics,1309
Senses,1309
disability,1309
biotech,1309
engineering,1309
innovation,1309
code,1309
neuroscience,1309
Surgery,1309
brain,1309
behavioral_economics,1310
business,1310
culture,1310
decision-making,1310
economics,1310
finance,1310
self,1310
global_issues,1288
law,1288
politics,1288
prison,1288
war,1288
criminal_justice,1288
justice_system,1288
TEDx,1311
disability,1311
global_issues,1311
poverty,1311
prosthetics,1311
storytelling,1311
war,1311
work,1311
culture,1312
entertainment,1312
health,1312
humor,1312
self,1312
comedy,1312
TEDx,1313
aging,1313
culture,1313
health,1313
women,1313
personality,1313
Europe,1314
Foreign_Policy,1314
TEDx,1314
global_issues,1314
politics,1314
world_cultures,1314
TEDx,1315
statistics,1315
visualizations,1315
TEDx,1317
astronomy,1317
collaboration,1317
medicine,1317
science,1317
technology,1317
medical_imaging,1317
space,1317
medical_research,1317
visualizations,1317
TEDx,1318
business,1318
culture,1318
economics,1318
storytelling,1318
TEDx,1320
cancer,1320
medicine,1320
pollution,1320
science,1320
youth,1320
chemistry,1320
health,1320
food,1320
code,1320
TEDx,1321
culture,1321
politics,1321
TEDx,1322
biology,1322
science,1322
visualizations,1322
molecular_biology,1322
biotech,1322
genetics,1322
science_and_art,1322
computers,1322
programming,1322
sustainability,1322
DNA,1322
TEDx,1323
activism,1323
music,1323
poetry,1323
women,1323
live_music,1323
performance,1323
TEDx,1324
alternative_energy,1324
nuclear_energy,1324
technology,1324
TEDx,1325
disability,1325
entertainment,1325
global_issues,1325
live_music,1325
TED_Fellows,1326
design,1326
technology,1326
water,1326
global_development,1326
atheism,1327
culture,1327
philosophy,1327
religion,1327
Internet,1328
TEDx,1328
crime,1328
data,1328
politics,1328
technology,1328
surveillance,1328
encryption,1328
business,1329
creativity,1329
media,1329
politics,1329
technology,1329
business,1330
choice,1330
culture,1330
decision-making,1330
marketing,1330
TEDx,1331
entertainment,1331
math,1331
music,1331
science,1331
science_and_art,1331
algorithm,1331
composing,1331
collaboration,1331
TEDx,1332
science,1332
sustainability,1332
technology,1332
green,1332
engineering,1332
alternative_energy,1332
energy,1332
biotech,1332
environment,1332
innovation,1332
future,1332
climate_change,1332
oceans,1332
ecology,1332
nature,1332
solar_energy,1332
plants,1332
synthetic_biology,1332
natural_resources,1332
TEDx,1334
neuroscience,1334
philosophy,1334
self,1334
TEDYouth,1334
personality,1334
business,1335
design,1335
technology,1335
3D_printing,1335
manufacturing,1335
culture,1336
extreme_sports,1336
fear,1336
sports,1336
success,1336
TEDx,1337
communication,1337
culture,1337
medicine,1337
public_health,1337
TEDx,1339
entrepreneur,1339
global_issues,1339
poverty,1339
women,1339
women_in_business,1339
TEDx,1341
business,1341
consumerism,1341
robots,1341
shopping,1341
technology,1341
TEDx,1342
global_issues,1342
military,1342
peace,1342
war,1342
guns,1342
cancer,1343
medical_research,1343
technology,1343
TEDx,1344
business,1344
happiness,1344
psychology,1344
science,1344
brain,1344
mind,1344
cognitive_science,1344
sociology,1344
depression,1344
mental_health,1344
health,1344
motivation,1344
innovation,1344
work,1344
productivity,1344
social_change,1344
Surgery,1345
TEDx,1345
design,1345
global_issues,1345
health_care,1345
poverty,1345
technology,1345
future,1346
science,1346
technology,1346
math,1346
history,1346
life,1346
human_origins,1346
genetics,1346
molecular_biology,1346
evolution,1346
computers,1346
innovation,1346
DNA,1346
programming,1346
engineering,1346
entertainment,830
film,830
fish,830
global_issues,830
oceans,830
science,830
submarine,830
science_and_art,830
ecology,830
biodiversity,830
adventure,830
biology,830
environment,830
exploration,830
evolution,830
climate_change,830
pollution,830
nature,830
activism,830
animals,830
TEDx,1348
global_issues,1348
poverty,1348
technology,1348
TEDx,1347
communication,1347
presentation,1347
storytelling,1347
brain,1349
cognitive_science,1349
exploration,1349
neuroscience,1349
science,1349
physiology,1349
biology,1349
algorithm,1349
biotech,1349
TEDx,1350
corruption,1350
culture,1350
global_issues,1350
military,1350
morality,1350
technology,1350
war,1350
Islam,1351
Middle_East,1351
art,1351
cities,1351
culture,1351
film,1351
TEDx,1352
biology,1352
dinosaurs,1352
paleontology,1352
science,1352
history,1352
animals,1352
humor,1352
creativity,1353
culture,1353
photography,1353
technology,1353
TEDx,1355
community,1355
leadership,1355
life,1355
motivation,1355
TEDx,1354
disability,1354
global_issues,1354
military,1354
animals,1356
biology,1356
children,1356
film,1356
plastic,1356
science,1356
sex,1356
pregnancy,1356
public_health,1356
science_and_art,1356
pollution,1356
cancer,1356
chemistry,1356
environment,1356
health,1356
ecology,1356
activism,1356
agriculture,1356
sustainability,1356
TEDx,1357
culture,1357
humor,1357
love,1357
relationships,1357
sex,1357
TEDx,1359
health,1359
health_care,1359
medicine,1359
public_health,1359
technology,1359
exercise,1359
TEDx,1360
biology,1360
environment,1360
oceans,1360
science,1360
fish,1360
climate_change,1360
animals,1360
activism,1360
genetics,1360
conservation,1360
exploration,1360
ecology,1360
TEDx,1361
disaster_relief,1361
global_issues,1361
natural_disaster,1361
social_media,1361
technology,1361
TEDx,1362
environment,1362
global_issues,1362
oil,1362
photography,1362
infrastructure,1362
TED_Fellows,1363
TEDx,1363
environment,1363
global_issues,1363
science,1363
space,1363
NASA,1363
pollution,1363
Planets,1363
activism,1363
technology,1363
universe,1363
culture,1364
global_issues,1364
history,1364
world_cultures,1364
archaeology,1364
TEDx,1365
communication,1365
entertainment,1365
humor,1365
language,1365
literature,1365
comedy,1365
art,1366
creativity,1366
Best_of_the_Web,1366
behavioral_economics,1367
economics,1367
money,1367
psychology,1367
TEDx,1368
family,1368
immigration,1368
storytelling,1368
Internet,1370
TEDx,1370
computers,1370
hack,1370
security,1370
technology,1370
encryption,1370
TEDx,1369
life,1369
psychology,1369
science,1369
compassion,1369
happiness,1369
humanity,1369
family,1369
anthropology,1369
sociology,1369
brain,1369
TEDYouth,1371
entertainment,1371
online_video,1371
social_media,1371
data,1373
oceans,1373
science,1373
mission_blue,1373
fish,1373
climate_change,1373
environment,1373
ecology,1373
animals,1373
biodiversity,1373
pollution,1373
conservation,1373
future,1373
prediction,1373
population,1373
marine_biology,1373
biology,1372
collaboration,1372
fish,1372
oceans,1372
photography,1372
marine_biology,1372
global_commons,1372
cities,1375
invention,1375
sustainability,1375
technology,1375
cities,1374
science,1374
sustainability,1374
technology,1374
climate_change,1374
environment,1374
alternative_energy,1374
activism,1374
agriculture,1374
economics,1374
solar_energy,1374
energy,1374
future,1374
green,1374
natural_resources,1374
AI,1376
drones,1376
robots,1376
technology,1376
business,1377
culture,1377
psychology,1377
introvert,1377
crime,1378
culture,1378
global_issues,1378
inequality,1378
law,1378
race,1378
criminal_justice,1378
justice_system,1378
entertainment,1379
film,1379
storytelling,1379
animation,1379
art,1379
big_problems,1380
climate_change,1380
environment,1380
global_issues,1380
science,1380
activism,1381
cities,1381
government,1381
technology,1381
entertainment,1382
performance,1382
performance_art,1382
TEDx,1383
art,1383
design,1383
materials,1383
TEDx,1384
business,1384
failure,1384
goal-setting,1384
happiness,1384
success,1384
TED_Fellows,1385
TED-Ed,1385
brain,1385
life,1385
neuroscience,1385
science,1385
technology,1385
biology,1385
physiology,1385
insects,1385
nature,1385
sound,1385
humor,1385
TED-Ed,1386
education,1386
mind,1386
science,1386
philosophy,1386
space,1386
Planets,1386
consciousness,1386
math,1386
physics,1386
extraterrestrial_life,1386
curiosity,1386
cosmos,1386
universe,1386
String_theory,1386
dark_matter,1386
nanoscale,1386
TED-Ed,1387
biology,1387
deextinction,1387
exploration,1387
science,1387
oceans,1387
submarine,1387
environment,1387
ecology,1387
marine_biology,1387
TED-Ed,1388
creativity,1388
education,1388
science,1388
simplicity,1388
technology,1388
exploration,1388
Nobel_Prize,1388
ancient_world,1388
curiosity,1388
innovation,1388
space,1388
physics,1388
Planets,1388
history,1388
math,1388
culture,1389
evolution,1389
religion,1389
evolutionary_psychology,1389
business,1390
entertainment,1390
humor,1390
music,1390
comedy,1390
brain,1391
culture,1391
psychology,1391
self,1391
TEDx,1392
beauty,1392
design,1392
industrial_design,1392
prosthetics,1392
TEDx,1393
architecture,1393
cities,1393
design,1393
social_change,1393
sustainability,1393
alternative_energy,1394
culture,1394
economics,1394
energy,1394
technology,1394
TEDx,1396
health,1396
heart_health,1396
medical_research,1396
medicine,1396
science,1396
women,1396
public_health,1396
politics,1396
activism,1396
physiology,1396
medical_imaging,1396
illness,1396
health_care,1396
biology,1396
disease,1396
energy,1397
science,1397
technology,1397
youth,1397
nuclear_energy,1397
physics,1397
alternative_energy,1397
invention,1397
innovation,1397
chemistry,1397
future,1397
culture,1398
entertainment,1398
humor,1398
poetry,1398
TEDx,1400
data,1400
design,1400
media,1400
news,1400
TEDx,1399
death,1399
global_issues,1399
health,1399
health_care,1399
alternative_energy,1401
energy,1401
invention,1401
technology,1401
electricity,1401
drones,1402
flight,1402
innovation,1402
military,1402
science,1402
technology,1402
physics,1402
biomimicry,1402
invention,1402
design,1402
robots,1402
nanoscale,1402
biology,1402
weather,1402
materials,1402
birds,1402
prosthetics,1402
Vaccines,1402
neuroscience,1402
health,1402
Internet,1402
community,1402
engineering,1402
nature,1402
children,1402
product_design,1402
rocket_science,1402
global_issues,1403
peace,1403
social_change,1403
women,1403
TED_Fellows,1404
creativity,1404
education,1404
technology,1404
toy,1404
code,1404
art,1405
design,1405
entertainment,1405
illusion,1405
magic,1405
technology,1405
TEDx,1406
alternative_energy,1406
global_issues,1406
green,1406
poverty,1406
technology,1406
Internet,1407
TEDx,1407
global_issues,1407
politics,1407
technology,1407
TED-Ed,1408
oceans,1408
animals,1408
fish,1408
animation,1408
diversity,1408
education,1408
marine_biology,1408
climate_change,1408
biology,1408
AI,1409
communication,1409
community,1409
culture,1409
sociology,1409
technology,1409
